ticker,map_li_category,map_li_subcategory,map_li_direction,map_li_leverage_amount,map_li_underlier
AALG US,Equity,Single Stock,Long,2.0,AAL US
AAPB US,Equity,Single Stock,Long,2.0,AAPL US
AAPD US,Equity,Single Stock,Short,1.0,AAPL US
AAPU US,Equity,Single Stock,Long,2.0,AAPL US
AAPX US,Equity,Single Stock,Long,2.0,AAPL US
ABNG US,Equity,Single Stock,Long,2.0,ABNB US
ADBG US,Equity,Single Stock,Long,2.0,ADBE US
ADZCF US,Commodity,Index/Basket/ETF Based,Short,1.0,
AFRU US,Equity,Single Stock,Long,2.0,AFRM US
AGQ US,Commodity,Index/Basket/ETF Based,Long,2.0,XAG Curncy
AIBD US,Equity,Index/Basket/ETF Based,Short,2.0,
AIBU US,Equity,Index/Basket/ETF Based,Long,2.0,
ALBG US,Equity,Single Stock,Long,2.0,ALB US
AMDD US,Equity,Single Stock,Short,1.0,AMD US
AMDG US,Equity,Single Stock,Long,2.0,AMD US
AMDL US,Equity,Single Stock,Long,2.0,AMD US
AMUU US,Equity,Single Stock,Long,2.0,AMD US
AMZD US,Equity,Single Stock,Short,1.0,AMZN US
AMZU US,Equity,Single Stock,Long,2.0,AMZN US
AMZZ US,Equity,Single Stock,Long,2.0,AMZN US
ANEL US,Equity,Single Stock,Long,2.0,ANET US
APED US,Stacked Returns,Miscellaneous,Long,,Basket
APLX US,Equity,Single Stock,Long,2.0,APLD US
APPX US,Equity,Single Stock,Long,2.0,APP US
ARCX US,Equity,Single Stock,Long,2.0,ACHR US
ARMG US,Equity,Single Stock,Long,2.0,ARM US
ARMU US,Equity,Single Stock,Long,2.0,ARM US
ASMG US,Equity,Single Stock,Long,2.0,ASML US
ASTX US,Equity,Single Stock,Long,2.0,ASTS US
AURU US,Equity,Single Stock,Long,2.0,AUR
AVGG US,Equity,Single Stock,Long,2.0,AVGO US
AVGU US,Equity,Single Stock,Long,2.0,AVGO US
AVGX US,Equity,Single Stock,Long,2.0,AVGO US
AVL US,Equity,Single Stock,Long,2.0,AVGO US
AVS US,Equity,Single Stock,Short,1.0,AVGO US
AVXX US,Equity,Single Stock,Long,2.0,AVAV US
AXUP US,Equity,Single Stock,Long,2.0,AXON US
BABX US,Equity,Single Stock,Long,2.0,BABA US
BAIG US,Equity,Single Stock,Long,2.0,BBAI US
BDDXF US,Commodity,Index/Basket/ETF Based,Long,2.0,
BEG US,Equity,Single Stock,Long,2.0,BE US
BEGS US,Stacked Returns,Miscellaneous,Long,,Basket
BEX US,Equity,Single Stock,Long,2.0,BE US
BIB US,Equity,Index/Basket/ETF Based,Long,2.0,
BIDG US,Equity,Single Stock,Long,2.0,BIDU US
BIS US,Equity,Index/Basket/ETF Based,Short,2.0,
BITI US,Crypto,Single Stock,Short,1.0,XBTUSD Curncy
BITU US,Crypto,Single Stock,Long,2.0,XBTUSD Curncy
BITX US,Crypto,Single Stock,Long,2.0,XBTUSD Curncy
BKNU US,Equity,Single Stock,Long,2.0,BKNG US
BLSG US,Equity,Single Stock,Long,2.0,BLSH US
BLSX US,Equity,Single Stock,Long,2.0,BLSH US
BMNG US,Equity,Single Stock,Long,2.0,BMNR US
BMNU US,Equity,Single Stock,Long,2.0,BMNR US
BMNZ US,Equity,Single Stock,Short,2.0,BMNR US
BOED US,Equity,Single Stock,Short,1.0,BA US
BOEG US,Equity,Single Stock,Long,2.0,BA US
BOEU US,Equity,Single Stock,Long,2.0,BA US
BOIL US,Commodity,Index/Basket/ETF Based,Long,2.0,NGA Comdty
BOMMF US,Commodity,Index/Basket/ETF Based,Short,2.0,
BOSXF US,Commodity,Index/Basket/ETF Based,Short,1.0,
BRKD US,Equity,Single Stock,Short,1.0,BRK/B US
BRKU US,Equity,Single Stock,Long,2.0,BRK/B US
BRZU US,Equity,Index/Basket/ETF Based,Long,2.0,
BTCL US,Crypto,Single Stock,Long,2.0,XBTUSD Curncy
BTCZ US,Crypto,Single Stock,Short,2.0,XBTUSD Curncy
BTFL US,Equity,Single Stock,Long,2.0,BITF US
BTFX US,Crypto,Single Stock,Long,2.0,XBTUSD Curncy
BTGD US,Stacked Returns,Miscellaneous,Long,,Basket
BU US,Equity,Single Stock,Long,2.0,B US
BULG US,Equity,Single Stock,Long,2.0,BULL US
BULU US,Equity,Single Stock,Long,2.0,BULL US
BULX US,Equity,Single Stock,Long,2.0,BULL US
BZQ US,Equity,Index/Basket/ETF Based,Short,2.0,
CCUP US,Equity,Single Stock,Long,2.0,CECL US
CEGX US,Equity,Single Stock,Long,2.0,CEG US
CELT US,Equity,Single Stock,Long,2.0,CELH
CHAU US,Equity,Index/Basket/ETF Based,Long,2.0,
CIFG US,Equity,Single Stock,Long,2.0,CIFR US
CIFU US,Equity,Single Stock,Long,2.0,CIFR US
CLSX US,Equity,Single Stock,Long,2.0,CLSK US
CMGG US,Equity,Single Stock,Long,2.0,CMG US
CNCG US,Equity,Single Stock,Long,2.0,CNC US
COIA US,Equity,Single Stock,Long,2.0,COIN US
COIG US,Equity,Single Stock,Long,2.0,COIN US
COIO US,Equity,Single Stock,Long,2.0,COIN US
CONI US,Equity,Single Stock,Short,1.0,COIN US
CONL US,Equity,Single Stock,Long,2.0,COIN US
CONX US,Equity,Single Stock,Long,2.0,BULL US
CORD US,Equity,Single Stock,Long,2.0,CRWV US
CORX US,Commodity,Index/Basket/ETF Based,Long,2.0,
COTG US,Equity,Single Stock,Long,2.0,COST
COZX US,Equity,Single Stock,Long,2.0,CORZ US
CPXR US,Commodity,Index/Basket/ETF Based,Long,2.0,
CRCA US,Equity,Single Stock,Long,2.0,CRCL US
CRCD US,Equity,Single Stock,Long,2.0,CRCL US
CRCG US,Equity,Single Stock,Long,2.0,CRCL US
CRDU US,Equity,Single Stock,Long,2.0,CRDO US
CRMG US,Equity,Single Stock,Long,2.0,CRM US
CRMX US,Equity,Single Stock,Long,2.0,CRML US
CRWG US,Equity,Single Stock,Long,2.0,CRWV US
CRWL US,Equity,Single Stock,Long,2.0,CRWD US
CRWU US,Equity,Single Stock,Long,2.0,CRWV US
CSCL US,Equity,Single Stock,Long,2.0,CSCO US
CSCS US,Equity,Single Stock,Short,1.0,CSCO US
CSEX US,Equity,Single Stock,Long,2.0,CLS US
CSM US,Equity,Index/Basket/ETF Based,Long,1.0,
CURE US,Equity,Index/Basket/ETF Based,Long,3.0,
CVNX US,Equity,Single Stock,Long,2.0,CVNA US
CWEB US,Equity,Index/Basket/ETF Based,Long,2.0,
CWVX US,Equity,Single Stock,Long,2.0,CRWV US
CXRN US,Commodity,Index/Basket/ETF Based,Long,2.0,
DAGXF US,Commodity,Index/Basket/ETF Based,Long,2.0,
DAMD US,Equity,Single Stock,Short,2.0,AMD US
DASX US,Equity,Single Stock,Long,2.0,DASH US
DDM US,Equity,Index/Basket/ETF Based,Long,2.0,
DDPXF US,Commodity,Index/Basket/ETF Based,Short,1.0,
DEENF US,Commodity,Index/Basket/ETF Based,Short,2.0,
DFEN US,Equity,Index/Basket/ETF Based,Long,3.0,
DGP US,Commodity,Index/Basket/ETF Based,Long,2.0,
DGZ US,Commodity,Index/Basket/ETF Based,Short,1.0,
DIG US,Equity,Index/Basket/ETF Based,Long,2.0,
DJTU US,Equity,Single Stock,Long,2.0,DJTU UA
DKNX US,Equity,Single Stock,Long,2.0,DKNG US
DKUP US,Equity,Single Stock,Long,2.0,DKNG US
DLLL US,Equity,Single Stock,Long,2.0,DELL US
DOG US,Equity,Index/Basket/ETF Based,Short,1.0,
DOGD US,Equity,Single Stock,Long,2.0,DDOG US
DPST US,Equity,Index/Basket/ETF Based,Long,3.0,
DRIP US,Equity,Index/Basket/ETF Based,Short,2.0,
